,User Name,Department,Office Number,Office Phone,Mobile Phone,Fax
0,chris@contoso.com,Information Technology,123451,123-555-1211,123-555-6641,123-555-9821
1,ben@contoso.com,Information Technology,123452,123-555-1212,123-555-6642,123-555-9822
2,david@contoso.com,Information Technology,123453,123-555-1213,123-555-6643,123-555-9823
3,cynthia@contoso.com,Information Technology,123454,123-555-1214,123-555-6644,123-555-9824
4,melissa@contoso.com,Information Technology,123455,123-555-1215,123-555-6645,123-555-9825
0,shawanda@contoso.com,Administration,123450,123-555-1200,123-555-6600,123-555-9800
1,george@contoso.com,Administration,123450,123-555-1200,123-555-6601,123-555-9800
2,amilia@contoso.com,Quality Improvement,123456,123-555-1216,123-555-6640,123-555-9826
3,benjamin@contoso.com,Quality Improvement,123456,123-555-1216,123-555-6646,123-555-9826
4,nina@contoso.com,Quality Improvement,123457,123-555-1217,123-555-6647,123-555-9827
5,bella@contoso.com,Quality Improvement,123457,123-555-1217,123-555-6648,123-555-9827
6,jeff@contoso.com,Quality Improvement,123457,123-555-1217,123-555-6649,123-555-9826
7,tom@contoso.com,Graphic Department,112341,123-444-1231,123-444-5541,123-444-9811
8,tiffany@contoso.com,Graphic Department,112342,123-444-1233,123-444-5542,123-444-9812
9,lee@contoso.com,Graphic Department,112341,123-444-1231,123-444-5543,123-444-9811
10,sofi@contoso.com,Graphic Department,111342,123-444-1233,123-444-5544,123-444-9812
11,elit@contoso.il,Universal Market,111001,+972-923-0001,051-000-0001,+972-555-0001
12,maor@contoso.il,Universal Market,111001,+972-923-0001,051-000-0011,+972-555-0001
13,shifra@contoso.il,Universal Market,111002,+972-923-0002,051-000-0002,+972-555-0002
14,dolev@contoso.il,Universal Market,111003,+972-923-0003,051-000-0003,+972-555-0003
15,beny@contoso.il,Universal Market,111004,+972-923-0004,051-000-0004,+972-555-0004
16,batia@contoso.il,Universal Market,111004,+972-923-0004,051-000-0044,+972-555-0004
17,sam@contoso.il,Universal Market,111005,+972-923-0005,051-000-0005,+972-555-0004
